SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
136,Micropogonias undulatus,169283,90,169283,"CROAKER,ATLANTIC",MICROPOGONIAS UNDULATUS
139,Morone saxatilis,167680,418,167680,STRIPED BASS,MORONE SAXATILIS
141,Centropristis striata,167687,335,167687,"SEA BASS,BLACK",CENTROPRISTIS STRIATA
142,Orthopristis chrysoptera,169077,258,169077,PIGFISH,ORTHOPRISTIS CHRYSOPTERA
143,Stenotomus chrysops,169182,329,169182,SCUP,STENOTOMUS CHRYSOPS
145,Cynoscion regalis,169241,344,169241,"SEA TROUT,GRAY(WEAKFISH)",CYNOSCION REGALIS
146,Menticirrhus saxatilis,169276,196,169276,"KINGFISH,NORTHERN",MENTICIRRHUS SAXATILIS
149,Leiostomus xanthurus,169267,406,169267,SPOT,LEIOSTOMUS XANTHURUS
151,Lopholatilus chamaeleonticeps,168546,446,168546,TILEFISH (GOLDEN TILEFISH),LOPHOLATILUS CHAMAELEONTICEPS
155,Sebastes fasciatus,166774,240,166774,"REDFISH,ACADIAN",SEBASTES FASCIATUS
156,Helicolenus dactylopterus,166787,242,166787,BLACK BELLIED ROSEFISH,HELICOLENUS DACTYLOPTERUS
163,Myoxocephalus octodecemspinosus,167320,326,167196,SCULPINS,COTTIDAE
164,Hemitripterus americanus,167289,327,167289,SEA RAVEN,HEMITRIPTERUS AMERICANUS
168,Cyclopterus lumpus,167612,210,167612,LUMPFISH,CYCLOPTERUS LUMPUS
171,Prionotus carolinus,166974,340,166974,"SEA ROBINS,NORTHERN",PRIONOTUS CAROLINUS
172,Prionotus evolans,166975,342,166975,"SEA ROBINS,STRIPED",PRIONOTUS EVOLANS
173,Peristedion miniatum,167010,343,167010,"SEA ROBINS,ARMORED",PERISTEDION MINIATUM
176,Tautogolabrus adspersus,170481,93,170481,CUNNER,TAUTOGOLABRUS ADSPERSUS
177,Tautoga onitis,170479,438,170479,TAUTOG,TAUTOGA ONITIS
179,Astroscopus guttatus,171055,31,171055,"STARGAZER,NORTHERN",ASTROSCOPUS GUTTATUS
180,Pholis gunnellus,171645,514,NA,NA,NA
185,Opsanus tau,164423,451,164412,TOADFISHES,BATRACHOIDIDAE
192,Anarhichas lupus,171341,512,171341,"WOLFFISH,ATLANTIC",ANARHICHAS LUPUS
193,Macrozoarces americanus,630979,250,630979,OCEAN POUT,ZOARCES AMERICANUS
195,Lagocephalus laevigatus,173285,431,173283,PUFFERS,TETRAODONTIDAE
196,Sphoeroides maculatus,173290,429,173290,"PUFFER,NORTHERN",SPHOEROIDES MACULATUS
197,Lophius americanus,164499,11,NA,NA,NA
197,Lophius americanus,164499,12,164499,GOOSEFISH,LOPHIUS AMERICANUS
202,Balistes capriscus,173138,456,173128,TRIGGERFISHES,BALISTIDAE
203,Seriola dumerili,168689,181,168689,"AMBERJACK,GREATER",SERIOLA DUMERILI
204,Seriola zonata,168693,526,161030,"FISH,OTHER",OSTEICHTHYES
205,Scomberesox saurus,165612,319,NA,NA,NA
207,Hyperoglyphe perciformis,172512,27,172512,BARRELFISH,HYPEROGLYPHE PERCIFORMIS
209,Selar crumenophthalmus,168677,76,168677,"SCAD,BIGEYE",SELAR CRUMENOPHTHALMUS
211,Decapterus punctatus,168725,77,168725,"SCAD,ROUND",DECAPTERUS PUNCTAUS
212,Trachurus lathami,168587,331,168587,"SCADS,ROUGH",TRACHURUS LATHAMI
262,Melanostigma atlanticum,165296,251,NA,NA,NA
263,Polymixia lowei,166126,22,166126,BEARDFISH,POLYMIXIA LOWEI
270,Rhinoptera bonasus,160985,285,160985,"RAY,COWNOSE",RHINOPTERA BONASUS
352,Isurus oxyrinchus,159924,355,159924,"SHARK,BONITO(SHORTFIN MAKO)",ISURUS OXYRINCHUS
353,Lamna nasus,159911,481,159911,"SHARK,PORBEAGLE",LAMNA NASUS
355,Carcharhinus falciformis,160310,485,160310,"SHARK,SILKY",CARCHARHINUS FALCIFORMIS
360,Rhizoprionodon terraenovae,160200,494,160200,"SHARK,ATLANTIC SHARPNOSE",RHIZOPRIONODON TERRAENOVAE
362,Sphyrna lewini,160508,478,160508,"SHARK,SCALLOPED HAMMERHEAD",SPHYRNA LEWINI
384,Anguilla rostrata,161127,115,161127,"EEL,AMERICAN",ANGUILLA ROSTRATA
428,Opisthonema oglinum,161748,174,161748,"HERRING,ATLANTIC THREAD",OPISTHONEMA OGLINUM
429,Sardinella aurita,161763,172,161763,"SARDINE,SPANISH",SARDINELLA AURITA
435,Synodus foetens,162376,526,161030,"FISH,OTHER",OSTEICHTHYES
455,Urophycis floridana,164737,661,164737,"HAKE,SOUTHERN",UROPHYCIS FLORIDANA
526,Centropristis ocyurus,167690,328,167690,"SEA BASS,BANK",CENTROPRISTIS OCYURUS
527,Centropristis philadelphica,167691,333,167686,"SEA BASS,NK",CENTROPRISTIS
530,Diplectrum formosum,167793,311,167793,"PERCH,SAND",DIPLECTRUM FORMOSUM
536,Epinephelus nigritus,167704,141,167674,GROUPERS,SERRANIDAE
537,Epinephelus niveatus,167705,146,167705,"GROUPER,SNOWY",EPINEPHELUS NIVEATUS
539,Hemanthias vivanus,167801,337,167801,"BARBIER,RED",HEMANTHIAS VIVANUS
541,Mycteroperca microlepis,167759,141,167674,GROUPERS,SERRANIDAE
563,Rachycentron canadum,168566,57,168566,COBIA,RACHYCENTRON CANADUM
568,Alectis ciliaris,168602,526,161030,"FISH,OTHER",OSTEICHTHYES
576,Naucrates ductor,168742,526,161030,"FISH,OTHER",OSTEICHTHYES
578,Seriola rivoliana,168691,526,161030,"FISH,OTHER",OSTEICHTHYES
584,Coryphaena hippurus,168791,105,168790,DOLPHINFISH,CORYPHAENA
584,Coryphaena hippurus,168791,105,168791,DOLPHINFISH,CORYPHAENA HIPPURUS
595,Pristipomoides aquilonaris,168913,379,168913,WENCHMAN,PRISTIPOMOIDES AQUILONARIS
