SVSPP,scientific_name,ITISSPP,NESPP3
631,Archosargus probatocephalus,169189,356
634,Calamus leucosteus,169200,332
640,Lagodon rhomboides,169187,267
641,Pagrus sedecim,169208,NA
642,Stenotomus caprinus,NA,NA
650,Equetus umbrosus,169318,NA
651,Larimus fasciatus,169269,109
652,Menticirrhus americanus,169274,NA
654,Sciaenops ocellatus,169290,107
656,Pseudupeneus maculatus,169421,NA
657,Upeneus parvus,169441,NA
659,Chaetodipterus faber,169539,381
662,Chaetodon ocellatus,169556,NA
677,Halichoeres bivittatus,170503,NA
682,Lachnolaimus maximus,170566,179
694,Sphyraena borealis,170427,NA
698,Bembrops gobioides,170998,NA
699,Astroscopus y-graecum,171056,NA
700,Xiphias gladius,172482,432
702,Auxis thazard,172456,132
703,Thunnus alalunga,172419,470
725,Xenocephalus egregius,630400,NA
726,Kathetostoma albigutta,171061,NA
734,Ammodytes americanus,171673,206
735,Foetorepus agassizi,171740,NA
738,Gobiosoma bosc,171789,NA
744,Scomberomorus cavalla,172435,194
745,Scomberomorus maculatus,172436,384
748,Ariomma regulus,172540,NA
751,Neomerinthe hemingwayi,166794,NA
752,Pontinus rathbuni,166803,NA
753,Scorpaena agassizi,166812,NA
755,Scorpaena calcarata,166817,NA
756,Scorpaena dispar,166818,NA
760,Bellator brachychir,166998,NA
762,Bellator militaris,167000,NA
763,Peristedion gracile,167006,NA
764,Prionotus alatus,166978,NA
765,Prionotus ophryas,166986,NA
768,Prionotus rubio,166991,NA
769,Prionotus scitulus,166976,NA
770,Prionotus tribulus,166977,NA
775,Ancylopsetta quadrocellata,172757,NA
780,Citharichthys cornutus,172721,NA
781,Citharichthys macrops,172724,NA
783,Cyclopsetta fimbriata,172777,NA
785,Etropus crossotus,172729,NA
786,Etropus rimosus,172732,NA
788,Paralichthys albigutta,172736,NA
789,Paralichthys lethostigma,172738,130
793,Syacium papillosum,172793,NA
796,Gymnachirus melas,172991,NA
797,Symphurus civitatus,173063,NA
798,Symphurus diomedianus,173064,NA
821,Symphurus marginatus,173065,NA
824,Lepidocybium flavobrunneum,172362,385
825,Symphurus plagiusa,173062,NA
826,Symphurus pusillus,173070,NA
827,Symphurus urospilus,173071,NA
829,Parahollardia lineata,173121,NA
830,Aluterus heudelotii,173132,NA
831,Aluterus monoceros,173133,NA
832,Aluterus schoepfi,173131,NA
833,Aluterus scriptus,173134,NA
836,Monacanthus ciliatus,173179,NA
838,Lactophrys polygonia,173241,NA
843,Sphoeroides dorsalis,173294,NA
844,Sphoeroides nephelus,173297,NA
856,Argentina striata,162067,NA
862,Chaunax stigmaeus,164572,NA
865,Engraulis eurystole,161830,NA
867,Laemonema barbatulum,164675,NA
869,Ophidion selenops,164843,NA
871,Prionotus stearnsi,166994,NA
874,Gempylus serpens,172360,NA
876,Cubiceps pauciradiatus,172546,NA
877,Seriola fasciata,168690,182
880,Sphoeroides pachygaster,173298,NA
890,Anchoa nasuta,NA,NA
891,Ariomma melanum,172538,NA
894,Salmo salar,161996,305
897,Lophius gastrophysus,164500,13
899,Cyttopsis rosea,166280,NA
926,Alopias superciliosus,159921,354
931,Carcharhinus brevipinna,160401,488
934,Carcharhinus signatus,160413,486
938,Sarda orientalis,172410,NA
5,Rajiformes,160806,289
20,Raja sp,160846,365
30,Clupeidae,161700,167
47,Chlorophthalmidae,162427,139
56,Myctophidae,162575,655
60,Anguilliformes,161123,117
61,Diaphus sp,162583,NA
80,Gadidae,164701,NA
86,Merluccius sp,164790,507
87,Urophycis sp,164729,155
88,Moridae,164670,NA
90,Macrouridae,165332,138
100,Pleuronectiformes,172702,126
138,Apogonidae,168196,NA
159,Artediellus sp,167201,NA
160,Cottidae,167196,326
174,Triglidae,166972,341
221,Symphurus sp,173061,NA
231,Chlorophthalmus sp,162428,NA
236,Vinciguerria sp,162192,NA
248,Stomiidae,162282,NA
249,Cyclopteridae,167483,NA
252,Sternoptychidae,162212,252
267,Zoarcidae,165215,NA
390,Congridae,161324,NA
399,Echiophis sp,161550,NA
421,Syngnathidae,166443,NA
422,Caproidae,166309,526
423,Atherinidae,165984,363
425,Ophichthidae,161419,NA
452,Ogcocephalidae,164573,NA
461,Ophidiidae,164807,253
490,Fistularia sp,166415,NA
554,Serranidae,167674,141
582,Carangidae,168584,4
597,Lutjanidae,168845,336
600,Squalidae,160604,350
620,Sphyraena sp,170425,18
625,Gerreidae,169013,NA
630,Haemulidae,169055,144
643,Sparidae,169180,332
683,Labridae,170477,NA
733,Blenniidae,171124,NA
739,Gobiidae,171746,NA
759,Scorpaenidae,166704,526
773,Pleuronectidae,172859,NA
794,Etropus sp,172728,NA
795,Bothidae,172714,NA
820,Balistidae,173128,456
822,Trichiuridae,172378,NA
851,Engraulidae,553173,686
855,Chaetodontidae,169554,526
857,Uranoscopidae,171053,30
858,Sciaenidae,169237,104
860,Scombridae,172398,NA
861,Tetraodontidae,173283,431
866,Citharichthys sp,172715,NA
887,Gonostomatidae,162163,NA
896,Paralepidae,162463,NA
900,Lophiiformes,164495,NA
